,Darija,English,MSA
2086,"الناس يلغت على شي 60 حالة كان فيها مشكل زيادة درجة الحرارة ديال جهاز ""آي بود""، وهاذشي كان السبب تقريبا في ستة ديال الحرائق وإصابة أربعة ديال ناس بحروق خفيفة.","Around 60 cases of malfunctioning iPods overheating have been reported, causing a total of six fires and leaving four people with minor burns.",تم الإبلاغ عن حوالي 60 حالة من إفراط حرارة أجهزة آي بود غير الصالحة للعمل ، مما تسبب في ستة حرائق في المجموع وترك أربعة أشخاص يعانون من حروق طفيفة.
2087,في جميع أنحاء المدينة القديمة، تقدر بسهولة تلقى بلايص كتبيع السلعة المغربية التقليدية، فحال الطواجن والفخار والجلد والشيشة وكاع مجموعة كاملة من أدوات الجيجاو، ولكن هاذشي خاص غير بالسياح.,"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.",في جميع أنحاء المدينة القديمة ، من السهل العثور على أماكن تبيع البضائع المغربية التقليدية ، مثل التاجين ، الفخار ، البضائع الجلدية ، الشيشة ، ومجموعة كاملة من الجيغا ، ولكن كل ذلك للسياح.
2088,ومنين كان خدام مستشار في الأمن القومي، عاون كارتر دبلوماسيًا على إدارة الشؤون العالمية بحال اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في التالي ديال السبعينيات؛ والثورة الإيرانية اللي تسببات في الكارثة ديال الرهائن الإيرانية عام 1979؛ والغزو السوفييتي لأفغانستان عام 1979.,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",ساعد كارتر في التعامل الدبلوماسي مع الشؤون العالمية ، مثل اتفاقيات كامب ديفيد في عام 1978 ، وتطبيع العلاقات بين الولايات المتحدة والصين في أواخر السبعينيات ، والثورة الإيرانية التي أدت إلى أزمة الرهائن في إيران في عام 1979 ، والغزو السوفيتي لأفغانستان في عام 1979.
2089,ونتيجة لذاكشي، كيدخن الفنانين جوانات د لحشيش على خشبة المسرح، وكيشجع المسرح براسه الجمهور باش يشاركهم في ذاكشي.,"As a result, the performers smoke cannabis joints on stage, and the theatre itself is encouraging the audience to join in.",ونتيجة لذلك ، يدخن الممثلون مخدرات القنب على خشبة المسرح ، ويشجع المسرح نفسه الجمهور على الانضمام.
2090,ونتيجة لذاكشي، يمكن يؤدي التعاون داخل المنظمة للتغلب على العقبات ويديروا إجراءات مبتكرة وجديدة تقدر تلبي احتياجات العميل.,"As a result, the process of an organization working together to overcome an obstacle can lead to a new innovative process to serve the customer's need.",ونتيجة لذلك، يمكن أن تؤدي عملية عمل منظمة معًا للتغلب على عقبة إلى عملية مبتكرة جديدة تخدم حاجة العميل.
2091,ونتيجة لذاكشي، انقرضوا جوج أنواع ديال الحوت، وولاو جوج ديال الأنواع آخرين دابا معرضين للخطر، ومنهم الشوب الأحدب.,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",ونتيجة لذلك، انقرضت نوعين من الأسماك، وأصبحت نوعين آخران مهددين بالانقراض، بما في ذلك سمكة البقر.
2092,في الوقت اللي تراجعت فيه المعرفة اليونانية، الغرب لقى راسه مقطوع من جذوره الفلسفية والعلمية اليونانية.,"As knowledge of Greek declined, the West found itself cut off from its Greek philosophical and scientific roots.",مع تراجع معرفة اللغة اليونانية، وجد الغرب نفسه مقطوعًا عن جذوره الفلسفية والعلمية اليونانية.
2093,لحقاش التلوث الضوئي في الذروة دياله مكانتش المشكلة بحال دابا، عادة ما كيكونوا موجودين في المدن أو في الحرم الجامعي، وكيكون سهل توصل ليهم ماشي بحال هاذوك اللي تبناو في العصر الحديث.,"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.",نظرًا لأن التلوث الضوئي في أوقات ازدهارها لم يكن مثل المشكلة التي هي عليه اليوم ، فإنها عادة ما تكون موجودة في المدن أو في الحرم الجامعي ، حيث يكون الوصول إليها أسهل من تلك التي تم بناؤها في العصر الحديث.
2094,طالما بقيتي في هاذ المنطقة، يمكن لك عمومًا تعبر الحدود بلا ماتدوز على نقاط تفتيش مراقبة الباسبورات مرة أخرى.,"As long as you stay in this zone, you can generally cross borders without going through passport control checkpoints again.",طالما أنك تبقى في هذه المنطقة ، يمكنك بشكل عام عبور الحدود دون المرور من خلال نقاط تفتيش مراقبة جواز السفر مرة أخرى.
2095,مثلا، يقدر يلقى المواطن الأمريكي في الشرق الأوسط معاملة مختلفة عن المعاملة مع الأوروبيين أو العرب.,"As one example, American citizens in the Middle East might face different situations from Europeans or Arabs.",على سبيل المثال، قد يواجه المواطنون الأمريكيون في الشرق الأوسط مواقف مختلفة عن الأوروبيين أو العرب.
2096,غير غادي تخرج من التيار، سباحة العودة ليس أكثر صعوبة من المعتاد,"As soon as you get out of the current, swimming back is no more difficult than normally.",بمجرد الخروج من التيار، السباحة إلى الوراء ليست أكثر صعوبة من المعتاد.
2097,في المناطق اللي فيها عدد قليل ديال السكان، وبالتالي مافيهاش مشكلة التلوث الضوئي في كثير من الأحيان، غادي تقدر تستمتع بالنجوم.,"As the areas are sparsely populated, and light pollution therefore often not a problem, you will also be able to enjoy the stars.",نظرًا لأن المناطق قليلة السكان ، وبالتالي فإن التلوث الضوئي غالبًا ما لا يكون مشكلة ، فستتمكن أيضًا من الاستمتاع بالنجوم.
2098,ولحقاش الكيران اللي ما بين الأقاليم غالبًا ما كتكون عامرة، من الأفضل تقطع التذكرة ديالك من قبل بشي أيامات.,"As the inter-district buses are often full, it is advisable to purchase a ticket a few days in advance.",نظرًا لأن الحافلات بين المقاطعات غالبًا ما تكون مليئة ، فمن المستحسن شراء تذكرة قبل بضعة أيام.
2099,كيفما هو الحال في كل المتنزهات الوطنية في جنوب إفريقيا، كاينة مصاريف ديال الصيانة اليومية والدخول للحديقة.,"As with all South African National Parks, there are daily conservation and entry fees for the park.",كما هو الحال مع جميع المتنزهات الوطنية في جنوب أفريقيا ، هناك رسوم الحفاظ اليومية ودخول الحديقة.
2100,فاش كان كيلقي الكلمة دياله في معرض طوكيو لألعاب الفيديو نهار الخميس، هضر رئيس شركة نينتندو ساتورو إواتا لأول مرة على تصميم نظام التحكم في كونسول نينتندو ريفولوشن الجديد.,"At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.",في العرض الرئيسي لعرض الألعاب في طوكيو يوم الخميس ، كشف رئيس نينتندو ، ساتورو إيواتا ، عن تصميم وحدة التحكم لكونسول نينتندو الثوري الجديد للشركة.
2101,في واحد الوقت، واحد من أفراد العصابة هز رأس واحد من الحرس الملكي قتلوه في فرساي قدام الملكة اللي كانت خايفة.,At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified Queen.,في مرحلة ما، كان أحد أفراد العصابة يلوح برأس حارس ملكي قُتل في فرساي أمام الملكة المروعة.
2102,في الأول تأثر اللباس بزاف بالثقافة البيزنطية في الشرق.,At the beginning dress was heavily influenced by the Byzantine culture in the east.,في البداية كان اللباس متأثرًا بشدة بالثقافة البيزنطية في الشرق.
2103,وبالنسبة للآراء اللي عكس بعضياتها في الاستطلاع، 29% من الناس اللي جاوبوا في الاستطلاع شايفين أن أستراليا خاصها تولي جمهورية في أسرع وقت، ولكن 31% شايفين أن أستراليا مخاصهاش تكون جمهورية كاع.,"At the extremes of the poll, 29 per cent of those surveyed believe Australia should become a republic as soon as possible, while 31 per cent believe Australia should never become a republic.",في الطرفين من الاستطلاع ، يعتقد 29٪ من المشاركين في الاستطلاع أن أستراليا يجب أن تصبح جمهورية في أقرب وقت ممكن ، في حين يعتقد 31٪ أن أستراليا لا يجب أن تصبح جمهورية أبدًا.
2104,وبالعكس، كيتحول الواحد لفرد ما يمكنش تتعرف عليه وكيحس أنه خاصه يبدل كاع داكشي اللي كان كيدير الفريق وخاصه يبقى من الممتلكات دياله.,"At the other end of the spectrum, one morphs into an unrecognizable individual that feels he or she must change everything the team has been doing and make it their own.",في الطرف الآخر من الطيف ، يتحول المرء إلى فرد لا يمكن التعرف عليه الذي يشعر أنه يجب عليه تغيير كل ما كان الفريق يفعله وجعله خاصًا به.
2105,وفي نفس الوقت، كانت البحرية الألمانية، كتحاول توقف هاذ الحركة المرورية باستخدام الغواصات بشكل أساسي.,"At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.",في نفس الوقت، كانت البحرية الألمانية، باستخدام الغواصات بشكل رئيسي، تحاول إيقاف هذه حركة المرور.
2106,الذرات صغيرة بزاف لدرجة أن تريليونات منها يمكن تتناسب مع المساحة الفاصلة اللي كاينة في التالي ديال هاذ الجملة.,Atoms are so incredibly tiny that trillions of them could fit into the period at the end of this sentence.,الذرات صغيرة بشكل لا يصدق لدرجة أن تريليونات منها يمكن أن تتناسب مع النقطة في نهاية هذه الجملة.
2107,خذا الأسترالي ميتشل جورلي المركز الحداش في بطولة سوبر-جي للرجال. وخذا المنافس التشيكي أولدريش جيلينك المركز الستاش في بطولة سوبر-جي للرجال.,Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,انتهى ميتشل جورلي الأسترالي في المركز الحادي عشر في السوبر جي الوقوف للرجال ، وانتهى المتنافس التشيكي أولدريتش جيلينك في المركز السادس عشر في السوبر جي الجلوس للرجال.
2108,وكتتوقع السلطات أن هاذشي كيشير إلى أن الحاويات اللي فيها وقود اليورانيوم في الموقع يمكن تكون تفجرت وتسربت.,Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.,وتفترض السلطات أن هذا يشير إلى أن الحاويات التي تحتوي على وقود اليورانيوم في الموقع قد تمزقت وتتسرب.
2109,قررت باكمان، اللي فازت في استفتاء آميس سترو في غشت، أنها غادي تسالي حملتها الانتخابية.,"Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.",(باكمان) ، التي فازت في استطلاع (إيمز سترو) في أغسطس، قررت إنهاء حملتها.
2110,التنزه على الظهر عن طريق التزلج: كيتسمى هاذ النشاط كذلك باسم التزلج على الجليد أو جولات التزلج أو المشي لمسافات طويلة على الجليد.,"Backpacking by ski: This activity is also called backcountry ski, ski touring or ski hiking.",التزلج على الجليد: يُطلق على هذا النشاط أيضًا تزلج على الجليد في الريف الخلفي أو جولة التزلج أو المشي على الجليد.
2111,اللغات الرسمية في برشلونة هي الكاتالونية والإسبانية. تقريبا النص كيبغيوا يهضروا باللغة الكاتالونية، والغالبية العظمى منهم كيفهموها، وتقريباً كل كيعرف اللغة الإسبانية.,"Barcelona's official languages are Catalan and Spanish. About a half prefer to speak Catalan, a vast majority understands it, and virtually everyone knows Spanish.",اللغات الرسمية في برشلونة هي الكاتالونية والإسبانية ، ويفضل حوالي النصف التحدث باللغة الكاتالونية ، فالغالبية العظمى تفهمها ، ويعرف الجميع تقريبًا الإسبانية.
2112,خاصك ما تخليش الثوب يسخن أكثر من اللازم (هاذ شي يقدر يكمشه أو يشوطو في الحالات القصوى).,"Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).",احرص على عدم السماح للنسيج بأن يصبح ساخنًا جدًا (الذي يمكن أن يسبب الانكماش ، أو في الحالات القصوى ، الحروق).
2113,خاصك تكوني حازمة منين ترفضي الرجال، وما تخافيش من التمسك بالموقف ديالك (الاختلافات الثقافية ماكتعنيش أن هاذ الأمر مقبول!).,"Be firm in turning down men, and don't be afraid to stand your ground (cultural differences or not, it doesn't make it ok!).",كن حازما في رفض الرجال ، ولا تخاف من الوقوف على أرضك (الاختلافات الثقافية أو لا ، هذا لا يجعلها صحيحة!).
2114,لحقاش الريش ديال الديناصورات معندوش شي سلسلة مهمة وكاملة للتطور، سميتها العمود الفقري، ولكنها عندها خصائص أخرى ديال الريش -بحال النتوءات والنتوءات الصغيرة- ولقاو الباحثين باللي العمود الفقري كان غالبا نشأة تطورية جات من بعد هاذ الخصائص الأخرى.,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.",نظرًا لأن ريش الديناصورات لا يحتوي على عمود متطور جيدًا ، يسمى rachis ، ولكنه يحتوي على خصائص أخرى من الريش - barbs و barbules - استنتج الباحثون أن rachis كان على الأرجح تطورًا تطوريًا متأخرًا لهذه الخصائص الأخرى.
2115,قبل عائلة سمبسون، سيمون خدم في بزاف ديال العروض في مواقف مختلفة.,Before The Simpsons Simon had worked on several shows in various positions.,"قبل ""السمبسونز"" عمل (سايمون) في العديد من البرامج في مناصب مختلفة."
2116,من قبل ما تكون المنظمة قادرة باش تبتكر، خاص القيادة تخلق ثقافة الابتكار والمعرفة المشتركة والتعلّم التنظيمي.,"Before an organization can be innovative, leadership must create a culture of innovation as well as shared knowledge and organizational learning.",قبل أن تكون المنظمة مبتكرة ، يجب على القيادة إنشاء ثقافة الابتكار بالإضافة إلى المعرفة المشتركة والتعلم التنظيمي.
2117,ما بين الساعة 10:00 إلى 11:00 مساءً بتوقيت الجبل، شعلوا المساجن العافية في الساحة.,"Between 10:00-11:00 pm MDT, a fire was started by the inmates in the yard.",بين الساعة العاشرة والساعة الحادية عشرة مساءً ، أشعل السجناء حريقًا في الفناء.
2118,من بعد الحدث ديال الأربع، تنافس كاربانيدو في جوج سباقات فردية في البطولة.,"Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships.",بعد حدث الأربعاء، تنافس كاربانيدو في سباقين فرديين في البطولات.
2119,الساعات البيولوجية هي متذبذبات ذاتية غادي تستمر لفترات من خلال دورات متتابعة حتى في حالة ما كانتش كاينة شي مؤثراتٍ خارجية.,Biological clocks are self sustaining oscillators which will continue a period of free-running cycling even in the absence of external cues.,الساعات البيولوجية هي مذبذبات ذاتية الاستدامة التي ستستمر في فترة من الدراجات الحرة حتى في غياب إشارات خارجية.
2120,لقاو فصائل ذات قدمين في حفريات أسترالوبيثكس من 4.2 إلى 3.9 مليون سنة فاتت، واخا أن ساحيلانثروبوس يمكن يكون مشى على جوج رجلين هاذي سبعة ملايين عام.,"Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.",تم العثور على تخصصات ثنائية الأقدام في حفريات Australopithecus منذ 4.2-3.9 مليون سنة ، على الرغم من أن Sahelanthropus قد كان يمشي على ساقين منذ سبعة ملايين سنة.
2121,"قال أحد المراقبين كيفما شاف مدينة بيشكيك أنها غارقة في حالة من ""فقدان السيطرة،"" حيث عصابات من الناس كتدور في الزناقي وكينهبوا مخازن السلع الاستهلاكية.","Bishkek was described as sinking into a state of ""anarchy"" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.","وصف أحد المراقبين بيشكيك بأنها تغرق في حالة من ""الفوضى"" ، حيث كانت عصابات من الناس تتجول في الشوارع وتنهب متاجر السلع الاستهلاكية."
2122,التدوين أداة كتياعد على التعاون، وكتشجع الطلبة باش يوسعوا نطاق التعلم من بعد اليوم الدراسي التقليدي.,"Blogging is a tool that inspires collaboration, and encourages students to extend learning well beyond the traditional school day.",التدوين هو أداة تلهم التعاون، وتشجع الطلاب على تمديد التعلم إلى ما بعد يوم الدراسة التقليدي.
2123,تقدر تساعد المدونات كذلك باش تحسن الكتابة ديال الطلبة. وواخا الطلبة غالبًا ما كبيداو التجربة ديال المدونة ديالهم بقواعد نحوية وإملائية كلها غالطة، ولكن مع الجمهور ذاكشي كله كيتبدل.,"Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.",يمكن أن تساعد المدونات أيضًا في تحسين كتابة الطلاب. في حين أن الطلاب غالبًا ما يبدأون تجربة المدونات الخاصة بهم مع قواعد النحو والهجاء القذرة ، فإن وجود الجمهور عادةً ما يغير ذلك.
2124,المركب هواية وطنية في فنلندا، تقريبا مركب لكل سبعة أو ثمانية ديال الناس.,"Boating is a national pastime in Finland, with a boat to every seven or eight people.",ركوب القوارب هو هواية وطنية في فنلندا، مع قارب لكل سبعة أو ثمانية أشخاص.
2125,الحجز المسبق كيعطي للمسافر راحة البال وبأنه غادي يكون عنده بلاصة ينعس فيها بمجرد ما يوصل للبلاصة اللي باغيها.,Booking in advance gives the traveller peace of mind that they will have somewhere to sleep once they arrive at their destination.,الحجز مسبقاً يعطي المسافر هدوء العقل لأنه سيكون لديه مكان للنوم بمجرد وصوله إلى وجهته.
2126,الكتب والمجلات اللي كتهضر على البقاء على قيد الحياة في البرية موجودة فكل بلاصة، ولكن المنشورات التي كتهضر على مناطق الحرب قليلة.,"Books and magazines dealing with wilderness survival are common, but publications dealing with war zones are few.",الكتب والمجلات التي تتعامل مع البقاء على قيد الحياة في البرية شائعة، ولكن المنشورات التي تتعامل مع مناطق الحرب قليلة.
2127,البق القاتل وبق الفراش كلهم كيتميزوا بالتعشاش، وكيقدروا يتكيفوا مع العيشة في العش أو السكنى ديال المضيف ديالهم.,"Both Assassin-bugs and Bed-bugs are nidicolous, adapted to living in nest or housing of their host.",كل من الحشرات القاتلة والحشرات السريرية متداخلة، متكيفة للعيش في العش أو السكن من مضيفها.
2128,لقاو حمض السيانوريك والميلامين في عينات البول ديال الحيوانات الأليفة اللي ماتت من بعد ما كلات ماكلة ملوثة ديال الحيوانات الأليفة.,Both cyanuric acid and melamine were found in urine samples from pets that died after consuming contaminated pet food.,تم العثور على كل من حمض السيانوريك والميلامين في عينات البول من الحيوانات الأليفة التي ماتت بعد استهلاك طعام الحيوانات الأليفة الملوثة.
2129,كيتواجد قنديل البحر الصندوقي قريب من الشواطئ وقريب من المصب ديال الوديان من أكتوبر حتى لأبريل شمال 1770. وتقدر أحيانًا تلقاه من غير هاذ الوقت.,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.,تظهر قناديل البحر بالقرب من الشواطئ بالقرب من مصبات الأنهار من أكتوبر إلى أبريل شمال 1770 ، ويمكن العثور عليها أحيانًا خارج هذه الأوقات.
2130,بريطانيا لغمت المياه الدولية باش تمنع أي سفينة من الدخول لأجزاء كاملة من المحيط، هاذشي تسبب في الخطر حتى بالنسبة للسفن المحايدة.,"Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships.",قامت بريطانيا بتخزين المياه الدولية لمنع أي سفن من دخول أجزاء كاملة من المحيط ، مما تسبب في خطر حتى على السفن المحايدة.
2131,غادي يكون الجنيه الإسترليني مقبول بشكل عام في أي بلاصة في الجزر وبزاف ديال المرات كيقبلوا بطاقات الائتمان ديال ستانلي وحتى الدولار الأمريكي.,British pounds will generally be accepted anywhere in the islands and within Stanley credit cards and United States dollars are also often accepted.,سيتم قبول الجنيهات البريطانية بشكل عام في أي مكان في الجزر ، وفي داخل ستانلي ، غالبًا ما يتم قبول بطاقات الائتمان ودولارات الولايات المتحدة.
2132,الهرم الأكبر اللي بناه المصريين في القرن الثالث قبل الميلاد هو واحد من بزاف ديال الهياكل الهرمية الكبيرة اللي تبنات على ود تكريم الفرعون الميت.,"Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh.",تم بناؤه من قبل المصريين في القرن الثالث قبل الميلاد ، والهرم العظيم هو واحد من العديد من الهياكل الهرمية الكبيرة التي بنيت لتكريم الفرعون الميت.
2133,الكيران كتمشي من محطة الكيران اللي ما بين الأقاليم (على الواد)على مدار النهار، واخا أن كلها، خاصة هاذيك اللي كتتجه للشرق وجاكار/بومتانغ كتمشي ما بين 06:30 و 07:30.,"Buses depart the inter-district bus station (across the river) throughout the day, though most, especially those heading to the east and Jakar/Bumthang leave between 06:30 and 07:30.",تغادر الحافلات محطة الحافلات بين المقاطعات (عبر النهر) على مدار اليوم ، على الرغم من أن معظمها ، وخاصة تلك المتجهة إلى الشرق و Jakar و Bumthang تغادر بين 6: 30 و 7: 30 .
2134,"جوردون جوندرو المتحدث الرسمي لبوش قال باللي تعهد كوريا الشمالية ""خطوة مهمة باش يتحقق هدف نزع السلاح النووي من شبه الجزيرة الكورية.""","Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula.""","""وقال المتحدث باسم بوش، جوردون جوندرو، إن تعهد كوريا الشمالية """"خطوة كبيرة نحو هدف تحقيق نزع السلاح النووي بشكل قابل للتحقق من شبه الجزيرة الكورية."""""""
2135,ولكن رئيس الوزراء جون هوارد قال أن هاذشي كان غير باش يحمي مرافق السبيطار من تخفيض التصنيف ديالها من حكومة تسمانيا وعطاوهم 45 مليون دولار أسترالي إضافية.,"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.",لكن رئيس الوزراء جون هوارد قال إن هذا الإجراء كان فقط لحماية مرافق المستشفى من تخفيض تصنيفها من قبل حكومة تسمانيا، في إعطاء 45 مليون دولار أسترالي إضافي.
2136,"لكن منين كتكون مستقر في ""منطقة استوائية عالية"" بعيد غير بشوية ديال الدرجات على شمال خط الاستواء، غادي تحتاج للتعامل مع الحرارة (دائمًا) والشمس القوية (منين تكون السماء صافية، وقليل فاش غادي تكون صافية) .","But being placed in the ""high tropics"" just a few degrees north of equator you will need to deal with both heat (always) and strong sun (when the sky is clear, more rarely).","ولكن كونك في ""المناطق الاستوائية العالية"" على بعد درجات قليلة شمال خط الاستواء ، ستحتاج إلى التعامل مع كل من الحرارة (دائماً) والشمس القوية (عندما تكون السماء صافية ، نادراً)."
2137,بغض النظر عن اكتشافه فإن قبائل الإسكيمو كانت تعيش كاين سابقاً.,"But regardless of his discovery, Eskimo tribes were already living there at the time.",لكن بغض النظر عن اكتشافه، كانت قبائل الإسكيمو تعيش هناك بالفعل في ذلك الوقت.
2138,لكن سوق المستهلكين لأجهزة الحاسوب المحمولة غادي يتنوع ويتغير جذرياً من بعد ما سيطرت شركة أسوس في 2007 على جائزة تايوان للاستدامة اللي تيعطيها القسم التنفيذي يوان دحكومة جمهورية الصين.,But the consumer market on laptop computer will be radically varied and changed after ASUS was awarded in the 2007 Taiwan Sustainable Award by Executive Yuan of the Republic of China.,لكن السوق الاستهلاكية للكمبيوتر المحمول ستتنوع وتغير بشكل جذري بعد أن حصلت شركة ASUS على جائزة تايوان المستدامة لعام 2007 من قبل المجلس التنفيذي لجمهورية الصين.
2139,لكن كاين الكثير من الأشياء حول الطيور اللي لا تزال تبدو بحال الديناصورات.,But there are a lot of things about birds that still look like a dinosaur.,ولكن هناك الكثير من الأشياء حول الطيور التي لا تزال تشبه الديناصورات.
2140,ولكن من بعد ما خسر القائد للتسديد في البُويبة، الهند ربحت غير 36 جولة بخسارة 7 تسديدات في اتجاه البُويبة باش تيالي الأشواط.,"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",ولكن ، بعد فقدان ويكيت الكابتن ، لم تصنع الهند سوى 36 ركضًا تخسر 7 ويكيتات لإنهاء الدورات.
2141,ولكن إن تستخدم بلا مصطلحات إضافية، فالمصطلح يقدر يعني أن الماكلة أصلها من المناطق الوسطى والشرقية للجزيرة الرئيسية جافا.,"But, if used without further qualifiers, the term tends to mean the food originally from the central and eastern parts of the main island Java.",ولكن ، إذا تم استخدامه دون مزيد من المؤهلات ، فإن المصطلح يميل إلى أن يعني الطعام أصلاً من الأجزاء الوسطى والشرقية من جزيرة جاوة الرئيسية.
2142,وفاش وصل عام 1976، ترجعات ثلاثين في المائة من ماتشو بيتشو واستمرت أعمال الترميم حتى لليوم.,"By 1976, thirty percent of Machu Picchu had been restored and restoration continues till today.",بحلول عام 1976 ، تم ترميم 30٪ من ماتشو بيكشو ، وتستمر عملية الترميم حتى يومنا هذا.
2143,و ف 17 شتنبر من عام 1939،طاح الدفاع البولندي، وكان الأمل الوحيد هو التراجع ويتعاود التنظيم على طول الجسر الروماني.,"By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.",بحلول 17 سبتمبر 1939 ، كان الدفاع البولندي قد تم كسره بالفعل ، وكان الأمل الوحيد هو التراجع وإعادة التنظيم على طول رأس الجسر الروماني.
2144,وقع حاكم ولاية كاليفورنيا أرنولد شوارزنيجر على مشروع قانون يحظر بيع أو تأجير ألعاب الفيديو العنيفة للقصر.,California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.,وقع حاكم ولاية كاليفورنيا ، أرنولد شوارزنيجر ، على مشروع قانون يحظر بيع أو تأجير ألعاب الفيديو العنيفة للقاصرين.
2145,كتختلف سياسات الإلغاء، ولكن اعتباراً من أواخر مارس، لم تعد معظم سياسات الإلغاء المستندة إلى فيروس كورونا حتى يوليوز عام 2020، منين كان من المقرر أن يتم تنظيم الألعاب الأوليمبية.,"Cancellation policies vary, but as of late March most coronavirus-based cancellation policies don't extend to July 2020, when the Olympics had been scheduled.",تختلف سياسات الإلغاء ، ولكن اعتبارًا من أواخر مارس ، لا تمتد معظم سياسات الإلغاء القائمة على فيروس كورونا إلى يوليو 2020 ، عندما كانت الألعاب الأولمبية مخططة.
2146,كيمكن للمرشحين يصيفطوا ممثلين باش يشهدوا على كل جزء من العملية. وف الليل، كيحسبوا المتطوعين الأصوات تحت إشراف مكثف وإجراءات محددة.,"Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.",يمكن للمرشحين إرسال ممثلين ليشهدوا كل جزء من العملية ، وفي المساء ، يتم عد الأصوات من قبل المتطوعين تحت إشراف شديد ، بعد إجراءات محددة.
2147,ادعت رئيسة الوزراء المؤقتة جوليا غيلارد خلال حملة الانتخابات الفيدرالية لعام 2010 أنها كتعتقد أن أستراليا خاص تولي جمهورية فاش يسالي عهد الملكة إليزابيث الثانية.,Caretaker Prime Minister Julia Gillard claimed during the campaign of the 2010 federal election that she believed Australia should become a republic at the end of Queen Elizabeth II's reign.,زعمت رئيسة الوزراء بالوكالة جوليا جيلارد خلال حملة الانتخابات الفيدرالية لعام 2010 أنها تعتقد أن أستراليا يجب أن تصبح جمهورية في نهاية حكم الملكة إليزابيث الثانية.
2148,الدار البيضاء هي من بلايص الأقل إثارة للشوبينغ في كل أنحاء المغرب.,Casablanca is one of the least interesting places to shop in all of Morocco.,كازابلانكا هي واحدة من الأماكن الأقل إثارة للاهتمام للتسوق في جميع أنحاء المغرب.
2149,كتدير الكازينوهات عادة بزاف ديال الجهود باش تزيد الوقت والمال اللي كيصرفوه الضيوف. وعادة ما كتكونش تما النوافذ والساعات، ويقدر يكون صعيب باش تلقى مخرج.,"Casinos typically make many efforts to maximize time and money spent by guests. Windows and clocks are usually absent, and exits can be hard to find.",عادة ما تبذل الكازينوهات العديد من الجهود لتعظيم الوقت والمال الذي ينفقه الضيوف ، وعادة ما تكون النوافذ والساعات غائبة ، ويمكن أن يكون من الصعب العثور على المخرجات.
2150,"رفع تشامبرز دعوى قضائيةً ضد الله بتهمة ""انتشار الموت والدمار وترويع الملايين من سكان الأرض.""","Chambers had sued God for ""widespread death, destruction and terrorization of millions upon millions of the Earth's inhabitants.""","كان تشامبرز قد رفع دعوى قضائية ضد الله بسبب ""الموت والدمار والإرهاب على نطاق واسع لملايين وملايين من سكان الأرض""."
2151,"كيبرر تشامبرز، وهو محايد دينياً، بأن الدعوى القضائية دياله هي ""تافهة"" و ""يمكن لأي واحد يدعي أي شخص.""","Chambers, an agnostic, argues that his lawsuit is ""frivolous"" and ""anybody can sue anybody.""","تشامبرز، وهو ملحد، يجادل بأن الدعوى القضائية له هي ""سخيفة"" و ""أي شخص يمكنه مقاضاة أي شخص""."
