idx,English,Darija,MSA,Checkbox,Darija corrected,Observations
3744,So you've been there yourself?,واش كانتي تما نتا?,إذاً لقد ذهبت إلى هناك بنفسك؟,FALSE,,
3745,I'm sure,أنا ماتأكاد,أنا متأكد,TRUE,,
3746,I brought in some very beautiful stones,جابت شي أحجار زوينا,جلبت بعض الأحجار الجميلة جدًا,TRUE,,
3747,Are you interested in mineralogy?,واش نتا مهتام بعيلم لماعادين?,هل أنت مهتم بعلم المعادن؟,TRUE,,
3748,I've met some gold-diggers in my time there,تلاقيت دوك لي تيقلّبو علا دهب فلوقت لي دوزت تمّا,لقد التقيت ببعض طامعي الذهب خلال وقتي هناك,TRUE,,
3749,"but other than that, it's not something I know anything about","والاكين من غير هادشي, ماكانعرفش عليه شي حاجا",ولكن عدا ذلك، ليس هناك شيء آخر أعرفه عن هذا الموضوع,TRUE,,
3750,Good evening,ماساء لخير,مساء الخير,TRUE,,
3751,So how was your day?,إوا كيداز نهارك?,فكيف كان يومك؟,TRUE,,
3752,My day sucked,نهاري داز كي لويل,كان يومي سيئًا,TRUE,,
3753,How was yours?,كيداز ديالك نتا?,كيف كان الخاص بك؟,TRUE,,
3754,Mine was fine,ديالي كان مازيان,كان لي جيد,TRUE,,
3755,As scheduled.,كيما كان موقارار,كما هو مقرر.,TRUE,,
3756,As I scheduled.,كيما بلانيت,كما جدولت.,TRUE,,
3757,But you had a difficult meeting,والاكين نتا كان عندك جتيماع صعيب,لكن كان لديك اجتماع صعب,TRUE,,
3758,The main problem was that I couldn't find a place to eat,كانت لموشكيلا راإسّييا هييا مالقيتش شي بلاسا فين ناكول,المشكلة الرئيسية كانت أنني لم أستطع العثور على مكان لتناول الطعام,TRUE,,
3759,"I was starved, and you know how hangry I get... I walked around for, like, an hour","كانت كانموت بجوع, راك عارفني كي كايجيني الجوع, بقيت تاندور شي ساعا تقريبان",كنت جائعًا جدًا، وأنت تعلم كم أصبح غاضبًا عندما أجوع... لقد تجولت حوالي ساعة,TRUE,,
3760,"One place after the other was closed, closed, CLOSED.","بلاسا مورا بلاسا مسدودا, مسدودا, مسدودا.",كان مكانًا تلو الآخر مغلقًا، مغلقًا، مُغلَق.,TRUE,,
3761,"But, tell me about your day.",والاكين عاود لييا علا نهارك,لكن، أخبرني عن يومك.,TRUE,,
3762,Being a little hangry is not like starving to death in Syria,تكون جيعان شوييا ماشي بحال جوع تال لموت ف سوريا,الشعور بالجوع الشديد قليلاً ليس كالموت جوعًا في سوريا,TRUE,,
3763,"We have to be aware of what the real problems are, and aren't","خاسنا نعارفو لماشاكيل ديال بساح لي كاينين, أُلي ماكاينينش",يجب أن نكون على وعي بما هي المشاكل الحقيقية، وما ليست كذلك,TRUE,,
3764,You mean after your meeting,كاتقصد مورا جتيماعاك,تقصد بعد اجتماعك,TRUE,,
3765,you tried to isolate yourself to eat but couldn't find a quiet room,حاولتي تعزال راسك باش تاكول أُ مالقيتيش بلاصا فين تاكول مارتاح,حاولت أن تعزل نفسك لتأكل لكنك لم تجد غرفة هادئة,TRUE,,
3766,Bad luck.,زهار خايب,حظ سيء.,TRUE,,
3767,Bad luck.,منحوس,حظ سيء.,TRUE,,
3768,Bad luck.,النحس,حظ سيء.,TRUE,,
3769,you really need to calm down!,نتا راه بصّاح خسّك تبرّد شويا!,أنت حقًا بحاجة إلى الهدوء!,TRUE,,
3770,"True, true.","بساح, بساح",صحيح، صحيح.,TRUE,,
3771,How was your day?,كي دوّزتي هاد نهار?,كيف كان يومك؟,TRUE,,
3772,My day has been quiet,كان نهاري مكالمي,كان يومي هادئًا,TRUE,,
3773,A good productive meeting this morning,جتيماع مزيان هاد سباه,اجتماع منتج جيد هذا الصباح,FALSE,,
3774,and this afternoon I was able to finish my report,أُ هاد لعشييا ساليت تقرير ديالي,وقد تمكنت هذا العصر من إنهاء تقريري,TRUE,,
3775,Have you managed to calm down for lunch?,واش قدارتي تهدّء فوقيتّ لغدا?,هل تمكنت من الهدوء استعدادًا للغداء؟,TRUE,,
3776,"Other than that, my day was actually pretty good","من غير هادشي, داز نهار مزيان",بخلاف ذلك، كان يومي جيدًا فعلاً,TRUE,,
3777,I spent most of the day writing something that I wanted to work on,وازت تقريبان النهار كامل كانكتب شي حاجا كانت بغيت نخدم عليها,قضيت معظم اليوم في كتابة شيء كنت أرغب في العمل عليه,FALSE,,
3778,Ah.,أه,آه.,TRUE,,
3779,And what did you write about?,و علاياش كتبتي?,وعن ماذا كتبت؟,TRUE,,
3780,Lunch was fine,كان لغدا كاڤا عليه,كان الغداء جيدًا,FALSE,,
3781,I had a bowl of chirashi!,كانت عندي زلافا ديال شيراسهي!,تناولتُ وعاءً من تشيراشي!,TRUE,,
3782,"I wrote about ... hmm, what did I write about--I'm getting too old to remember anything","كتابت علا ... همّ, علاياش كتبت -- كبارت فلعمر بزاف حتا مابقيتش كانعقال علا حتا حاجا",كتبت عن ... همم، ماذا كتبت عنه--أنا أصبحت كبيراً في السن لدرجة أنني لا أتذكر أي شيء,TRUE,,
3783,I wrote about the kinds of information that needs to be recorded,كتابت علا أنواع لماعلومات ليخاسّها تسجّل,كتبت عن أنواع المعلومات التي يجب تسجيلها,TRUE,,
3784,How about you?,إوا أُنتا?,ماذا عنك؟,TRUE,,
3785,what was your meeting about?,علاش جتامعتو?,عن ماذا كان اجتماعك؟,TRUE,,
3786,what was your meeting about?,علاش هضرتو فلّيقاء?,عن ماذا كان اجتماعك؟,TRUE,,
3787,what was your report about?,علاش كان تقريرك كايهضر?,عن ماذا كان تقريرك؟,TRUE,,
3788,what was your report about?,علاش كان راپّورك كايهضر?,عن ماذا كان تقريرك؟,TRUE,,
3789,"Who was at the meeting, and did everyone behave themselves?","شكون كان فل جتيماع, أُ واش كولشي تصرّاف مزيان?",من كان في الاجتماع، وهل تصرف الجميع بأدب؟,TRUE,,
3790,What's a bowl of chirashi?,أشناهيا زلافا ديال شيراسهي?,ما هو طبق من تشيراشي؟,TRUE,,
3791,I've never had it,ماعامرو كان عندي,لم أجربها من قبل,TRUE,,
3792,I've never had it,ماعامّرني خديتها,لم أجربها من قبل,TRUE,,
3793,The meeting was pretty good,كان ليجتيماع مزيان,كان الاجتماع جيدًا جدًا,TRUE,,
3794,There must be some trouble,داروري يكونو شي ماشاكيل,يجب أن يكون هناك بعض المشاكل,TRUE,,
3795,It's a bit heavy to wear,هادشي تقيل شوييا باش تلبسو,إنها ثقيلة بعض الشيء للارتداء,TRUE,,
3796,But we made it,والاكين درناها,لكننا نجحنا,TRUE,,
3797,Anything interesting on the news?,كاينا شي حاجا موهيما ف لأخبار?,هل يوجد شيء مثير للاهتمام في الأخبار؟,TRUE,,
3798,No more than that.,ماشي كتار من داكشي,لا أكثر من ذلك.,TRUE,,
3799,You know that takes time,نتا عارف هادشي كاياخد واقت,أنت تعلم أن ذلك يستغرق وقتًا,TRUE,,
3800,What about your side?,أُ من جيهتك?,ماذا عن جانبك؟,TRUE,,
3801,The usual criminals in the White House.,نافس لموجريمين ف لبايت ل أبياض,المجرمون المعتادون في البيت الأبيض.,TRUE,,
3802,Trump being a stupid guy.,طرومپ ليحماق,ترامب يكون رجلًا غبيًا.,TRUE,,
3803,Trump being an idiot.,طرومپ لي غابيي,ترامب يكون أحمق.,TRUE,,
3804,Same thing,نافس لحاجا,نفس الشيء,TRUE,,
3805,"OK, I must run out to the store and pick up some coffee.","واخا, خاسني نجرّي لحانوت ناخود شوييا ديال لقاهوا",حسنًا، يجب أن أذهب إلى المتجر وأشتري بعض القهوة.,TRUE,,
3806,I'll be back soon,غادي نرجاع بزاربا,سأعود قريبًا,FALSE,,
3807,do you want me to pick up anything?,بغيتي نجيب ليك شي حاجا?,هل تريد مني أن أحضر أي شيء؟,FALSE,,
3808,But who's stupid?,والاكين شكون اللي سطل?,ولكن من الأحمق؟,FALSE,,
3809,The president of the US?,راإس ديال ميريكان?,رئيس الولايات المتحدة؟,FALSE,,
3810,Yes--by definition.,"أه, بتاعريف",نعم--بالتعريف.,FALSE,,
3811,You should read the book: Immigrants,خاسك تاقرا كتاب: لموهاجيرين,يجب أن تقرأ الكتاب: المهاجرون,FALSE,,
3812,this is just a theory,هادي هي ناضارييا,هذه مجرد نظرية,FALSE,,
3813,It's a philosopher's take on what exactly a book is,هوا كايعطي فيكرا علا شنو بضّبط كايعني كتاب,إنها وجهة نظر فيلسوف فيما هو الكتاب بالضبط,FALSE,,
3814,why they are as they are,علاش هوما كيف هوما,لماذا هم كما هم,FALSE,,
3815,why they so infuriate us,علاش كايعصّبونا بحال هاكّا,لماذا يغضبوننا جدًا,FALSE,,
3816,It was written in 2010,تكتب ف 2010,كُتِبَ في عام 2010,FALSE,,
3817,in other words,بمعنا أخور,بعبارة أخرى,FALSE,,
3818,in other words,أُلّا ألا بغيتي تڭول,بعبارة أخرى,FALSE,,
3819,long before the current hell,قبال واقت طويل من هاد جاهانام ديال دابا,قبل الجحيم الحالي بزمن طويل,FALSE,,
3820,and he talks about Lyoussfi at some length,أُ كايهدار علا ليوسّفي مازيان,ويتحدث عن اليوسفي بإسهاب,FALSE,,
3821,"OK, I'm outta here","واخا, أنا هنا لخارج",حسنًا، سأغادر الآن,FALSE,,
3822,Back in a bit.,غانرجع من دابا شويا,سأعود بعد قليل.,FALSE,,
3823,Why do we learn about History?,علاش كانقراو علا تاريخ?,لماذا نتعلم عن التاريخ؟,FALSE,,
3824,"But mademoiselle, history is a very important discipline.","والاكين أنيسا, تاريخ راه مادّا موهيمّا بزاف",ولكن آنسة، التاريخ هو تخصص مهم جدًا.,FALSE,,
3825,It allows you to understand the present and prepare the future as a student of the past.,كايخاليك تافهام لحاضير أُ تواجاد لموستاقبال كا طاليب ديال لماضي,إنه يتيح لك فهم الحاضر والاستعداد للمستقبل كطالب في الماضي.,FALSE,,
3826,And then it's part of the general culture of all educated people.,أُ هييا راه جوزء من تاقافا لعاما ديال ڭاع لموتاعاليمين,ومن ثم تصبح جزءًا من الثقافة العامة لجميع الأشخاص المتعلمين.,FALSE,,
3827,Not knowing where the story is come from,ماتعرافش منين جات لقيصّا,لا أعرف من أين جاءت القصة,FALSE,,
3828,Why does school not teach us more about the negatives of debt,علاش ماكاتعالامناش لمادراسا سيلبييات ديال الدويون,لماذا لا تعلمنا المدرسة المزيد عن سلبيات الدين,FALSE,,
3829,looking after our mental health,ناهتامو بصاحتنا لعاقلييا,الاهتمام بصحتنا النفسية,FALSE,,
3830,Every teacher specializes in a discipline,كول موعاليم كايتخاصّاص ف مادّا,كل معلم متخصص في تخصص,FALSE,,
3831,I agree with you that certain subjects are not treated enough,كانتافق معاك شي ماودوعات ماكايتعاملوش معاها بطاريقا كافيا,أنا أتفق معك بأن بعض الموضوعات لا تُعالج بما فيه الكفاية,FALSE,,
3832,But the story is very important.,والاكين لقيسا موهيما بزاف,لكن القصة مهمة جدًا.,FALSE,,
3833,he needs to understand what democracy is,خسّو إفهام شناهيا الديموقراطيا,يحتاج إلى فهم ما هي الديمقراطية,FALSE,,
3834,the cultural identity of his country,لهووييا التاقافيا ديال بلادو,الهوية الثقافية لبلده,FALSE,,
3835,"And it doesn't fascinate you, ancient civilizations?",ماكاتبهراكش حاضارتك لقديما?,ألم تُثِرْ إعجابك، الحضارات القديمة؟,FALSE,,
3836,The birth of writing?,لبدايا ديال لكتابا?,ميلاد الكتابة؟,FALSE,,
3837,Yes I suppose it is very interesting,أه كانضنّ بيلا راه موهيمّ بزاف,نعم، أظن أنه مثير للاهتمام جدًا,FALSE,,
3838,but it does not feel very relevant to the present,والاكين ماكايبانش عندو صيلا بلحاضير,ولكنه لا يبدو ذا صلة كبيرة بالحاضر,FALSE,,
3839,"Yes, it is","أيه, كاينا",نعم، هو كذلك,FALSE,,
3840,History often repeats itself,التاريخ يوعيدو نافساه,التاريخ غالبًا ما يعيد نفسه,FALSE,,
3841,History often repeats itself,التاريخ كايتعاود ديما,التاريخ غالبًا ما يعيد نفسه,FALSE,,
3842,Studying the consequences of decisions that were taken in the past allows you to understand what the right decisions to make today!,ديراسا ديال لقارارات ليتخدات ف لماضي كاتخاليك تفهام لقارارات سحيحا ليخاس تاخودها ليوم,دراسة عواقب القرارات التي اتخذت في الماضي تمكنك من فهم القرارات الصحيحة التي يجب اتخاذها اليوم!,FALSE,,
3843,Let's take an example,ناخدو ميتال,لنأخذ مثالاً,FALSE,,
3844,After the first world war,مورا لحارب لعالامييا لاولا,بعد الحرب العالمية الأولى,FALSE,,
3845,the winners have decided to ask for some very high repairs in Germany,دوك اللي ربحو قارّرو إتالبو إصلاحاتات كبيرا بزاف ف ألمانيا,قرر الفائزون طلب بعض الإصلاحات العالية جدًا في ألمانيا,FALSE,,
3846,It meant a fortune,هادشي كايعني زبّالا تلفلوس,كان يعني ثروة,FALSE,,
3847,"It ruined the German economy, and drove indirectly into World War II.","هادشي دمّار إقتيصاد ل ألماني, أُ ساهم بشكال غاير موباشير ف لحارب لعالامييا تانييا",أدى ذلك إلى تدمير الاقتصاد الألماني، وقاد بشكل غير مباشر إلى الحرب العالمية الثانية.,FALSE,,
3848,"After the second world war, the winners understood because of what it was that we didn't have to make the same mistake again.","مورا لحارب لعالامييا تانييا, عرفو لفاإزين بيلا ماخاسناش نعاودو نافس لغالات مرا خرا",بعد الحرب العالمية الثانية، فهم الفائزون السبب الذي من أجله لم يكن علينا أن نكرر نفس الخطأ مرة أخرى.,FALSE,,
3849,And they built Europe instead,أُ بلاستها بناو أُروپا,وبنوا أوروبا بدلاً من ذلك,FALSE,,
3850,And now we've lived in peace for 70 years in Europe,أُ دابا عاشنا فسالام لمودا ديال 70 عام ف أُروپا,والآن عشنا في سلام لمدة سبعين عامًا في أوروبا,FALSE,,
3851,That is true.,هادشي بساح,ذلك صحيح.,FALSE,,
3852,Do you think that one day in the future children will not need to learn to write with a pen and just use a computer instead?,واش كادان بيلا فلموستاقبال ماغاديش يحتاجو ل أتفال يتعالمو يكاتبو ب ستيلووات أُ غادي يستاعمو پك بلاستو,هل تعتقد أنه في يوم من الأيام في المستقبل لن يحتاج الأطفال إلى تعلم الكتابة بالقلم وسيستخدمون الكمبيوتر بدلاً من ذلك؟,FALSE,,
3853,I don't think so.,ماكاندنش,أعتقد ذلك.,FALSE,,
3854,"You'll always have to be able to write letters, sign documents...",غادي يخاساك ديما تكتاب راساإل أُ تاسني واتاإق...,سوف تحتاج دائمًا إلى أن تكون قادرًا على كتابة الرسائل، توقيع الوثائق...,FALSE,,
3855,But what are you interested in?,والاكين أشنو كايهاماك نتا?,ولكن ما الذي تهتم به؟,FALSE,,
3856,What are the subjects that seem useful to you?,أشنو لماودوعات ليكاتبان ليك موفيدا?,ما هي المواضيع التي تبدو مفيدة بالنسبة لك؟,FALSE,,
3857,I am very passionate about looking after the planet,أنا كانحماق علا نحافض علا لكاوكاب,أنا شغوف جدًا بالعناية بالكوكب,FALSE,,
3858,And making sure that we look after it,أُ نتأكاد بيلا كانحافضو عليها,والتأكد من أننا نعتني به,FALSE,,
3859,"by recycling, being mindful of the ocean and finding new sources of energy","عان طاريق إعادا تادوير, أُ إدراك لموحيطاط أُ نلقاو ماصادير جديدا ديال طاقا",من خلال إعادة التدوير، والاهتمام بالمحيطات وإيجاد مصادر جديدة للطاقة,FALSE,,
3860,"Yes, they're very important subjects, you're right.","أه, هادو ماواديع موهيما بزاف, عانداك لحاق",نعم، إنها مواضيع مهمة جدًا، أنت محق.,FALSE,,
3861,Are you planning to study in this field?,واش كاتخاطاط تاقرا فهاد لماجال?,هل تخطط للدراسة في هذا المجال؟,FALSE,,
3862,I would like to study more about the planet and how we can change our behaviour for the better,بغيت ناقرا كتار علا لكاوكاب أُ كيفاش نقادرو نبادلو سولوك ديالنا ل أفضال,أود أن أدرس المزيد عن الكوكب وكيف يمكننا تغيير سلوكنا للأفضل,FALSE,,
3863,But I also really enjoy reading theatre,والاكين أنا كانتماتاع بقارايا ديال لماسراح,ولكني أستمتع أيضًا بقراءة المسرحيات,FALSE,,
3864,You might want to start looking into which schools there are cursus that might interest you.,تقدار تقالّب علا ماداريس ليفيها تاخصّوصات تقدار تعاجباك,قد ترغب في البدء بالبحث عن المدارس التي تقدم دورات قد تهمك.,FALSE,,
3865,But the environment is a very exciting and very important discipline for our future,والاكين لبيأ ماجال موتير لإهتيمام أُ موهيم لموستاقبالنا,لكن البيئة هي تخصص مثير للغاية ومهم جدًا لمستقبلنا,FALSE,,
3866,so I encourage you in this path!,داكشي علاش كانشاجعاك علا هاد لماسار,لذا أشجعك على هذا الطريق!,FALSE,,
3867,Do I need a University Degree to get a job working to change the environment?,واش غادي ناحتاج شاهادا جاميعييا باش نلقا واديفا تغيير لبيأ?,هل أحتاج إلى شهادة جامعية للحصول على وظيفة تعمل على تغيير البيئة؟,FALSE,,
3868,Do I need a Degree to get a job?,واش غانحتاج ديپلوم باش نلقا خدما?,هل أحتاج إلى شهادة جامعية للحصول على وظيفة؟,FALSE,,
3869,Depends on what you want to do,هادشي كايعتاماد علا شنو باغي دير,يعتمد على ما تريد أن تفعل,FALSE,,
3870,We don't need a college degree to change his behavior daily,ماغاديش نحتاجو شاهادا جاميعييا باش نبدالو سولوك لياومي ديالنا,لا نحتاج إلى شهادة جامعية لتغيير سلوكه يوميًا,FALSE,,
3871,we need to encourage people to do the same,خسّنا نشجّعو ناس دير نافس لحاجا,نحتاج إلى تشجيع الناس على فعل الشيء نفسه,FALSE,,
3872,"But if you want to go further, for example in research or engineering, then you'll need skills and degrees that only higher studies can give you.","والاكين إلا بغيتي تزيد لقودام, ماتالان ف لباحت ولا ولا لهانداسا, غادي تحتاج ماهارات أُ شاهادات ماتقدار تاعتيها ليك غير ديراسات لعوليا",ولكن إذا أردت التقدم أكثر، على سبيل المثال في البحث العلمي أو الهندسة، فإنك ستحتاج إلى مهارات وشهادات تمنحها لك الدراسات العليا فقط.,FALSE,,
3873,If we all used computers at school it would be better for the planet!,"إلا كولّنا ستاعمالنا أجهيزا ديال كومپيوتر فلمادراسا, غادي يكون حسان لكاوكابنا!",لو استخدمنا جميعًا الحواسيب في المدرسة لكان ذلك أفضل للكوكب!,FALSE,,
3874,How about iPads instead of paper note books?,أُ أش بان ليك ف أجهيزا ديال إپاد بلاست موداكيرا ديال لوراق,ما رأيك في استخدام أجهزة الآيباد بدلاً من دفاتر الملاحظات الورقية؟,FALSE,,
3875,I think my fellow students would be very happy,كانضن تالاميد لي معايا غادي يكون فارحانين بزاف,أعتقد أن زملائي الطلاب سيكونون سعداء جدًا,FALSE,,
3876,You should look into it,خاسّك تقلّب مزيان,يجب أن تنظر في الأمر,FALSE,,
3877,Producing computers and iPads is very polluting.,إنتاج پك أُ إپاد تاهوا مولاويت بزاف,إنتاج الحواسيب والآيبادات يُسبب تلوثًا كبيرًا.,FALSE,,
3878,replanting the trees,نزارعو أشجار,إعادة زراعة الأشجار,FALSE,,
3879,Why is producing cars very polluting?,علاش إنتاج توموبيلات مولاويت بزاف?,لماذا تُعَدُّ عملية إنتاج السيارات ملوثةً جدًا؟,FALSE,,
3880,"Because today, we don't know how to produce them without polluting.",حيت ليوم مازال ماكانعرفوش كيفاش نصنعوها بلا مانلاووتو,لأننا اليوم لا نعرف كيف ننتجها دون تلويث.,FALSE,,
3881,Electronic devices contain many toxic chemicals,ل أجهيزا ل إليكترونييا فيها بزاف ديال ماواد كيمياإيا ساما,تحتوي الأجهزة الإلكترونية على العديد من المواد الكيميائية السامة,FALSE,,
3882,"But you can talk to your physics teacher, if you're interested.","والاكين تقدار تهضار معا أُستادك ديال پهيسيقو, إلا كانتي مهتام",ولكن يمكنك التحدث إلى مدرس الفيزياء الخاص بك، إذا كنت مهتمًا.,FALSE,,
3883,"I have to leave now, because the next class starts in one minute!","خاسني نامشي دابا, حيت لحيصا الجايا غادي تبدا من دابا دقيقا",يجب أن أغادر الآن، لأن الحصة القادمة تبدأ بعد دقيقة واحدة!,FALSE,,
3884,See you next week!,نتلاقاو سيمانا جايا,أراك الأسبوع القادم!,FALSE,,
3885,Could you please wash your hands after touching your face,واش تقدار عافاك تغسال ياديك مورا ماتقيس واجهاك,هل يمكنك من فضلك غسل يديك بعد لمس وجهك,FALSE,,
3886,It is vital that we maintain good hygiene,راه داروري نحافدو علا نادافا,من الضروري أن نحافظ على نظافة جيدة,FALSE,,
3887,I'll wash my hands right now!,غادي ناغسال يادي دابا!,سأغسل يديّ الآن!,FALSE,,
3888,What do you want us to do next for tonight's menu?,أشنو بغيتينا نديرو ف لقاإما ديال هاد الليلا?,ماذا تريد منا أن نفعل بعد ذلك لقائمة الطعام لهذه الليلة؟,FALSE,,
3889,"Great, I am pleased we have cleared the ground rules","عاضيم, أنا فارحانا حيت وضّحنا لقاواعيد أساسييا",رائع، أنا مسرور لأننا قد حددنا القواعد الأساسية,FALSE,,
3890,"What is on the menu for tonight, do you remember?","أشنو كاين ف لقاإما ليوم, باقي عاقال?",ماذا يوجد في قائمة الطعام لهذه الليلة، هل تتذكر؟,FALSE,,
3891,It seems to me that we should be planning an entrance with fish,كايبان لييا خاسنا نواجدو دخلا بلحوت,يبدو لي أنه يجب علينا التخطيط لمدخل مع الأسماك,FALSE,,
3892,"Then a dish with meat, and then dessert with red fruit.",من باعد طاباق ديال لحام أُ ديسير بفاكيها لحامرا,ثم طبق يحتوي على اللحم، وبعد ذلك حلوى مع فاكهة حمراء.,FALSE,,
3893,You are very good at inventing special dishes,نتا واعار بزاف ف ختيراع أطباق خاصّا,أنت ماهر جدًا في ابتكار أطباق خاصة,FALSE,,
3894,What shall we do with the bream?,أش خاسنا نديرو بل برام,ماذا سنفعل بالدنيس؟,FALSE,,
3895,It is lovely and fresh,زوين أُ باقي يالاه خرج من لبحر,إنه جميل ومنعش,FALSE,,
3896,something simple I suggest,كانقتارح شي حاجة بسيطا,أقترح شيئًا بسيطًا,FALSE,,
3897,it won't detract from the flavour,مغاديش تانقاس من لماداق,لن ينتقص من النكهة,FALSE,,
3898,"What exactly do you mean, Layla, I'm not sure I understand","أش كاتقسادي بضابط أ لايلا, مامتأكادش واش فهامت",ماذا تعنين بالضبط، يا ليلى، أنا لست متأكدًا من أنني أفهم,FALSE,,
3899,"Bream is a small white fish, slightly like sea bass I guess","برام حوت بياض سغير, كاتشباه لحوت لقاروس علا ماكانضن",البريم هو سمكة بيضاء صغيرة، تشبه إلى حد ما سمك القاروص أعتقد,FALSE,,
3900,Thank you for your precision.,شوكران علا الديقا,شكرًا لك على دقتك.,FALSE,,
3901,"Maybe we can marinate it in lemon, and with a little olive oil?",إمكن نقادرو نزاينوه بلحامض أُ شوييا ديال زايت زيتون?,ربما يمكننا تتبيله بالليمون، وقليل من زيت الزيتون؟,FALSE,,
3902,along with some fresh vegetables,معا شوييا ديال لخوضرا جديدا,بالإضافة إلى بعض الخضروات الطازجة,FALSE,,
3903,"I think if you fillet it, then fry it lightly and serve with a lemon and olive oil","كانضن إلا قليتيها, قليها شوييا أُ حاتها معا لحامض معا زيت زيتون",أعتقد إذا قمت بتقطيعه إلى شرائح، ثم قليه بخفة وتقديمه مع الليمون وزيت الزيتون,FALSE,,
3904,I think we could just prepare it and serve with a little seaweed as it is a starter,كانضن يمكان لينا نصاوبوه أُ نقادموه معا شوييا ديال أعشاب لباحرييا كا بيدايا,أعتقد أننا يمكن أن نعدها ونقدمها مع قليل من الأعشاب البحرية كمقبلات,FALSE,,
3905,"Oh, yeah, that's a great idea!","أه, كاينا, هادي فيكرا زوينا",آه، نعم، هذه فكرة رائعة!,FALSE,,
3906,this is original!,هادشي أصلي,هذا أصلي!,FALSE,,
3907,this is original!,هادشي أُريڭينال,هذا أصلي!,FALSE,,
3908,"There are plenty of fresh strawberries, perhaps you could start by macerating them in sugar and some liqueur","كاين بزاف ديال فرايس طازاج, ياقدار نبداو نحاتوها ف سوكار أُ شي ماشروبات كوحولييا",هناك الكثير من الفراولة الطازجة، ربما يمكنك البدء بنقعها في السكر وبعض الخمر,FALSE,,
3909,If you get those started,إلا بديتي بهادو,إذا بدأت بها,FALSE,,
3910,Of course,طابعان,بالطبع,FALSE,,
3911,What do you think of the healthy eating initiative that the Government are getting involved in?,أش بان ليك فلموبادارا ديال لأكل السيحي لي داخلا فيها لحوكوما?,ما رأيك في مبادرة التغذية الصحية التي يشارك فيها الحكومة؟,FALSE,,
3912,Maybe we could make a little lemon pie with the strawberries?,إمكن نقادرو نديرو كيكا ديال ليمون ب لفرايس?,ربما يمكننا أن نصنع فطيرة ليمون صغيرة مع الفراولة؟,FALSE,,
3913,Obesity in France is not such a problem as it is in England,لغولض ف فرانسا ماشي موشكيلا كبيرا بحال ف نڭليز,السمنة في فرنسا ليست مشكلة كبيرة كما هي في إنجلترا,FALSE,,
3914,Do you think I am right about that?,واش كادان بيلا عندي لحاق فهادشي?,هل تعتقد أنني على صواب في ذلك؟,FALSE,,
3915,it became a global problem,ولّات موشكيلا عالامييا,أصبحت مشكلة عالمية,FALSE,,
3916,"But with good stuff, you can eat better.","والاكين معا حوايج زوينا,تاقدار تاكول حسان",ولكن مع الأشياء الجيدة، يمكنك أن تأكل بشكل أفضل.,FALSE,,
3917,Bearing that in mind I think we should leave the lemon pies and concentrate on a lighter menu,"معا هادشي ف إعتيبار, كاندان خاسنا نخاليو كيكا ديال ليمون أُ نراكزو علا ماكلات أخاف",مع الأخذ في الاعتبار ذلك، أعتقد أنه يجب علينا ترك فطائر الليمون والتركيز على قائمة طعام أخف,FALSE,,
3918,"Thanks for your suggestions today, good bye","شوكران علا قتيراحات ديالك ليوم, بسلاما",شكرًا على اقتراحاتك اليوم، وداعًا,FALSE,,
3919,I'm trying to have a relaxing time here and I'd prefer not to be disturbed.,كانحاول ندوز واقت موريح هنا أُ كانفضّل مانتبارزاطش,أنا أحاول أن أقضي وقتاً مريحاً هنا وأفضل ألا أزعج.,FALSE,,
3920,I don't want to be disturbed,مابغيتش نتبارزاط,لا أريد أن أُزعج,FALSE,,
3921,I don't want anyone to disturb me,مابغيت تا واحد إ درانڭيني,لا أريد من أحد أن يزعجني,FALSE,,
3922,But it's already over an hour ago that we're here.,والاكين راه دازت كتار من ساعا باش جينا هنا,لكننا هنا منذ أكثر من ساعة بالفعل.,FALSE,,
3923,We could go to town for a while.,نقادرو نمشيو لمدينا شوييا ديال لواقت,يمكننا الذهاب إلى المدينة لبعض الوقت.,FALSE,,
3924,I've seen the town and I'm not impressed.,أنا شافت لمدينا أُ مانباهرتش بزاف,لقد رأيت المدينة ولم أكن معجبًا بها.,FALSE,,
3925,I'd much rather just laze here in the sun and perhaps read a chapter or two of my book.,كانفادال نتاكا هنا فشامش أُ مومكين ناقرا فاصل ولا جوج من كتابي,أفضل بكثير أن أتكاسل هنا تحت أشعة الشمس وربما أقرأ فصلاً أو اثنين من كتابي.,FALSE,,
3926,I'm really getting into the story and I think it's going to become quite exciting soon.,أنا كاندخال فلقيسا أُ كاندان غادي توالي موتيرا بزاف قريبان,أنا حقاً بدأت أندمج في القصة وأعتقد أنها ستصبح مثيرة للغاية قريباً.,FALSE,,
3927,"Okay, suit yourself.","واخا, خود راحتك",حسنًا، افعل ما يحلو لك.,FALSE,,
3928,What is this exciting book you're reading?,أشناهووا هاد لكتاب لاوعر ليكاتقرا?,ما هذا الكتاب المثير الذي تقرأه؟,FALSE,,
3929,A detective novel?,ريوايا بوليسييا?,رواية بوليسية؟,FALSE,,
3930,It's a kind of detective novel.,تقريبان ريوايات لبوليسييا,إنه نوع من روايات البوليسية.,FALSE,,
3931,The main character is a genealogist,شاخسييا راإسييا هييا عاليم أنساب,الشخصية الرئيسية هي عالم أنساب,FALSE,,
3932,he is trying to make sense of a family story about smugglers,كايحاوال يفهام قيسا عاإلييا علا لموهرّيبين,إنه يحاول فهم قصة عائلية عن المهربين,FALSE,,
