Darija,English,MSA
حتى شي طفل ماخاصو يكبر فمحيط متيعطيهش التغذية والرعاية والتعليم، ولكن كاينين اللي تيكبرو فمحيط بحال هادا.,"No child should ever have to grow up in an environment that is not nurturing, caring, and educational, but they do.",لا ينبغي على أي طفل أن يكبر في بيئة غير مغنية ورعاية وتعليمية ، لكنهم يفعلون ذلك.
ماغاديش يتزاد لمركوب والقطارات الفوق أرضية مغتحبسش ف ويمبلي، وبلايص لباركينغ مكينينش فوق الأرض.,"No extra transport is being put on and overground trains will not stop at Wembley, and car parking and park-and-ride facilities are unavailable at the ground.",لا يتم وضع أي وسائل نقل إضافية ، ولن تتوقف القطارات فوق الأرض في ويمبلي ، ولن تكون مرافق وقوف السيارات ومرافق الوقوف والركوب متوفرة على الأرض.
متوصلش الماسح الجيولوجي الأمريكي (USGS) ولا المركز الوطني للمعلومات المتعلقةبالزلازل بحتى شي تقرير عن خسائر.,No immediate reports of damage have been received by the United States Geological Survey (USGS) and its National Earthquake Information Center.,لم يتم تلقي أي تقارير فورية عن الضرر من قبل المسح الجيولوجي للولايات المتحدة ومركز معلومات الزلازل الوطني.
موقعاتش خسائر أولا إصابات كبيرة ف تونغا، غير الضو اللي تقطع مؤقتان، الشيء اللي مخلاش السلطات تتوصل بالتحذير من تسونامي اللي طلقو مركز المحيط الهادي للتحذير من تسونامي PTWC.,"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.",لم يتم الإبلاغ عن أي أضرار أو إصابات كبيرة في تونغا ، ولكن فقدت الكهرباء مؤقتًا ، مما منع السلطات التونغية من تلقي تحذير تسونامي الصادر عن PTWC.
بالرغم من أنها كتبان مسالمة، إلا أن الجاموس والظبي ولغزال والدب وتقريبا كاع الحيوانات لكبيرة ممكن أنها تهاجم.,"No matter how docile they may look, bison, elk, moose, bears, and nearly all large animals can attack.",بغض النظر عن مدى تواضعهم ، يمكن أن يهاجم البيسون والأيل والأيل والدببة وكل الحيوانات الكبيرة تقريبًا.
حتى شي تحذير من تسونامي متعطى، وبحسب وكالة جاكارتا للجيوفيزياء، مغادي يتعطى حتى شي تحذير لاحقاش الزلزال موصلش لدرجة 6.5 المطلوبة.,"No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.",لم يتم إصدار أي تحذير من تسونامي ، ووفقًا لوكالة الجيوفيزياء في جاكرتا ، لن يتم إصدار أي تحذير من تسونامي لأن الزلزال لم يلبي متطلبات الحجم 6.5 .
شواطئ الساحل الشرقي (فمقاطعة الميناء الغربي) كاينة فالمحيط الهادي وكيمتدو من شاطئ لونغ باي فالشمال حتال دوفونبورت فالجنوب.,North Shore beaches (in North Harbour district) are on the Pacific Ocean and stretch from Long Bay in the north to Devonport in the south.,تقع شواطئ الشاطئ الشمالي (في منطقة نورث هاربور) على المحيط الهادئ وتمتد من لونغ باي في الشمال إلى ديفونبورت في الجنوب.
حتى حاجة مكاتبان من غير السما الزوينة والصافة والجبال اللي دايرين. شي حاجة قليلة من هاد العالم هي اللي كاتشاف أولا كاتسمع من داخل الكهف.,"Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.",لا يمكن رؤية أي شيء سوى السماء الصافية والجميلة أعلاه والعديد من الجبال المحيطة بها ، ولا يمكن رؤية أو سماع القليل جدًا من هذا العالم من داخل الكهف.
المطبخ الجاوي متوفر على نطاق واسع فأنحاء الأرخبيل، وكايتميز بمجموعة من الأطباق ساهلة التحضير، والنكهات اللي سايدة وتيفضلها الجاويون هي كاوكاو والفلفل الحارة والسكر (خاصة سكر جوز الهند الجاوي) والعطرية المختلفة.,"Now widely available throughout the archipelago, Javanese cuisine features an array of simply seasoned dishes, the predominant flavorings the Javanese favor being peanuts, chillies, sugar (especially Javanese coconut sugar) and various aromatic spices.",الآن متوفرة على نطاق واسع في جميع أنحاء الأرخبيل ، تتميز المطبخ الجاواني بمجموعة من الأطباق ذات التوابل البسيطة ، حيث تكون النكهات السائدة التي يفضلها الجاوانيون هي الفول السوداني والفلفل الحار والسكر (خاصة سكر جوز الهند الجاواني) والتوابل العطرية المختلفة.
حيوان الأصلوت تياكل الحيوانات الصغيرة. تيشد لقرودة ولحنوشة والقوارض والطيور إلى لقا كيفاش. الحيوانات اللي تيصيدها حيوان الأصلوت تقريبا كلها أصغر منو.,"Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.",يحب Ocelot أن يأكل الحيوانات الصغيرة ، وسوف يصطاد القردة والثعابين والقوارض والطيور إذا كان بإمكانهم ، تقريبًا جميع الحيوانات التي يصطادها Ocelot أصغر بكثير مما هو عليه.
بطبيعة الحال أن الأرباح الكبيرة اللي نتجات على الاستغلال ديال الشعب الفليبيني هي المكاسب الأساسية نتاع الإمبريالية الأمريكية.,"Of course, the superprofits derived from the protracted exploitation of the Filipino people would constitute the basic gains of U.S. imperialism.",بالطبع ، فإن الأرباح الفائقة المستمدة من الاستغلال المطول للشعب الفلبيني ستشكل المكاسب الأساسية للإمبريالية الأمريكية.
المسؤولين ديال مدينة أمستردام ومتحف آن فرانك تيقولو أن الشدرة كانت متأثر بالفطريات وكتشكل خطر على الصحة العامة وقالو أنه كان خطر ديال أنها قريبة تطيح.,Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.,ويقول مسؤولون في مدينة أمستردام ومتحف آن فرانك إن الشجرة مصابة بفطريات وتشكل خطرا على الصحة العامة، حيث يجادلون بأنها كانت في خطر وشيك من السقوط.
قال أوليفير ساكس فالورقة البحثية ديالو، تحت عنوان خطاب الرئيس، أن الناس اللي مقادرينش يفهمو الخطاب بسباب خلل فالدماغ قادرين واخا هكاك على تقييم الإخلاص بدقة.,"Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.",أشار أوليفر ساكس ، في ورقته The President's Speech ، إلى كيفية قدرة الأشخاص الذين لا يستطيعون فهم الكلام بسبب تلف الدماغ على تقييم الصدق بدقة.
"ف 15 غشت 1940، دخلو الحلفاء لجنوب فرنسا، الغزو تسمى ""عملية دراغون"".","On 15 August 1940, the Allies invaded southern France, the invasion was called ""Operation Dragoon"".","في 15 أغسطس 1940 ، غزا الحلفاء جنوب فرنسا ، وأطلق على الغزو اسم ""عملية دراغون""."
علنات السكريترة الدائمة فلجنة نوبل للأدب فالأكاديمية السويدية سارة دانيوس نهار الإثنين فواحد البرنامج فراديو Sveriges فالسويد أن اللجنة اللي مقدراتش توصل لبوب ديلان براسو باش تخبرو بالفوز بجائزة نوبل في الأدب لعام 2016 وقفت محاولة للوصول إليه.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",أعلنت سارة دانيوس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، خلال برنامج إذاعي على راديو Sveriges Radio في السويد أن اللجنة، التي لم تتمكن من الوصول مباشرة إلى بوب ديلان حول الفوز بجائزة نوبل في الأدب لعام 2016، قد تخلت عن جهودها للوصول إليه.
الطريق اللي تيكون فيها الجليد والثلج تتكون الاحتاكاكات قليلة ومتقدرش تسوق بحال إلا راك على الطريق اللي فيها غير الزفت.,"On icy and snowy roadways, friction is low and you cannot drive as if you were on bare asphalt.",على الطرق الجليدية والثلجية ، يكون الاحتكاك منخفضًا ولا يمكنك القيادة كما لو كنت على الأسفلت العاري.
فشي طرق جوية تيكون عند الشركات الكبيرة طائرات ديالهم، ولكن بالنسبة للطرق لوخرا والشركات الصغيرة تيكون مشكل.,"On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.",على بعض الطرق ، تمتلك الشركات الكبيرة طائراتها الخاصة ، ولكن بالنسبة للطرق الأخرى والشركات الأصغر ، كانت هناك مشكلة.
ومن جهة أخرى كتكون ظروف الجليد والثلج عادية فبزاف دالدول والطريق غالبا مكتقطعش على طول السنة.,"On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.",من ناحية أخرى ، فإن الظروف الجليدية والثلجية طبيعية في العديد من البلدان ، وتستمر حركة المرور في الغالب دون انقطاع على مدار السنة.
ممكن متبقاش إمكانية استخدام البطاقة النبكية فالجزر اللي بعيدة، واخا ممكن تدي العملات البريطانية والأمريكي؛ سول مالين السلعة من قبل باش تعرف طريقة لخلاص الممكنة.,"On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken; check with the owners in advance to determine what is an acceptable payment method.",على الجزر البعيدة من المحتمل أن لا يتم قبول بطاقات الائتمان ، على الرغم من أنه قد يتم أخذ العملة البريطانية والأمريكية ؛ تحقق من المالكين مسبقًا لتحديد طريقة الدفع المقبولة.
كانت مدينة سميرنا قديمة ولات دابا مدينة متحضرة ومتقدمة ومركز تجاري نشيط دايرة على خليج كبير ودايرين عليها الجبال.,"Once the ancient city of Smyrna, it is now a modern, developed, and busy commercial center, set around a huge bay and surrounded by mountains.",كانت مدينة سميرنا قديمة ، وهي الآن مركز تجاري حديث ومتطور ومزدحم ، يقع حول خليج ضخم محاط بالجبال.
بين المضاد الحيوي، ZMapp، أنه فعال فهاد المجال، ولكن الدراسات الرسمية كتقول أنه معندوش نفس التوقعات اللي كانت فأنه يعتق من الموت.,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",أظهر كوكتيل واحد من الأجسام المضادة ، ZMapp ، في البداية واعدًا في الميدان ، لكن الدراسات الرسمية أشارت إلى أنه كان له فائدة أقل مما تم البحث عنه في منع الوفاة.
تفكعات واحد القنبلة برا دلمكتب دالحاكم العام.,One bomb exploded outside the governor general's office.,انفجرت قنبلة واحدة خارج مكتب الحاكم العام
تقدر تفكر شنو ممكن يولي لكلافيي فاش تبان شي حاجة جديدة.,One can only wonder what the keyboard will become when something newer comes along.,يمكن للمرء أن يتساءل فقط عما ستصبح لوحة المفاتيح عندما يأتي شيء جديد.
من بين المعتقدات نتاع الكنيسة أن الثروة خاص تستخدم فالنقص من المعاناة والفقر وأن الدعم المادي للكنيسة تدار لهاد الغاية.,One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.,أحد المبادئ المسيحية الرئيسية هو أن الثروة يجب أن تستخدم لتخفيف المعاناة والفقر وأن الأموال النقدية للكنيسة موجودة خصيصًا لهذا السبب.
من بين الطرق اللي كتبين أهمية التنشئة الاجتماعية ممكن نشوفو الحالات نتاع الأطفال الي عاناو من الخلي أوالفقر أو الإساءة المتعمدة واللي متمش الإدماج ديالهم داخل المجتمع من طرف الراشدين فاش كانو تيكبرو.,"One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up.",واحدة من الأساليب الأكثر شيوعًا المستخدمة لتوضيح أهمية التنشئة الاجتماعية هي الاعتماد على الحالات المؤسفة القليلة للأطفال الذين ، بسبب الإهمال أو سوء الحظ أو الإساءة المتعمدة ، لم يتواصلوا مع البالغين أثناء نشأتهم.
من بين الأمثلة الباينة على هادشي هو حملة الشمال الأطلسي فالحرب العالمية الثانية. حاولو الأمريكيين أنهم ينقلو العسكر والعتاد ديالهم عبر المحيط الأطلسي باش يعاونو بريطانيا.,One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move men and materials across the Atlantic Ocean to help Britain.,أحد أبرز الأمثلة الأخيرة على ذلك كانت حملة المحيط الأطلسي الشمالي في الحرب العالمية الثانية ، حيث كان الأمريكيون يحاولون نقل الرجال والمواد عبر المحيط الأطلسي لمساعدة بريطانيا.
واحد تصيفط لجورج واشنطن ف 6 يوليوز وتقرا على الجنود ديالو ف 9 يوليوز. نسخة منو وصلات لندن ف 10 غشت.,"One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.",تم إرسال نسخة واحدة إلى جورج واشنطن في 6 يوليو ، والذي قرأها لجنوده في نيويورك في 9 يوليو ، ووصلت نسخة إلى لندن في 10 أغسطس.
الطفرة اللي كتوقع فالخلايا من سلالة جرثومية هي اللي تقدر تنتاقل للأطفال، الطفرات فبلاصة أخرى ممكن تسبب موت الخلية أو السرطان.,"Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.",فقط الطفرات في الخلايا الجرثومية يمكن أن تنتقل إلى الأطفال ، في حين أن الطفرات في أماكن أخرى يمكن أن تسبب موت الخلايا أو السرطان.
من بين الاختيارات البيولوجية الأخرى اللي ممكنة كاين شرب بزاف دالسوائل (خاصة الما أولا أتاي، أو أي سائل تيدير البول) قبل من النعاس، باش غتفيق الشخص يتبول.,"Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate.",تتضمن الخيارات الأخرى القائمة على الإيقاع الحيوي شرب الكثير من السوائل (خاصة الماء أو الشاي ، وهو مسالك البول المعروفة) قبل النوم ، مما يجبر المرء على الاستيقاظ للتبول.
من بين المواضيع اللي مسطرة فبالي كاين الحفاظ على داكشي لي باقي دالغابات فالعالم، ومشاركة التكنولوجيا اللي غاتعاون الدول النامية باش تطور بشكل أقل تلوثي.,"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.",وتشمل المواضيع الأخرى على جدول الأعمال في بالي إنقاذ الغابات المتبقية في العالم ، ومشاركة التقنيات لمساعدة الدول النامية على النمو بطرق أقل تلوثًا.
من بين الموايع اللي تم التطرق ليهاهي مستقبل القدس اللي كاتعتبر مدينة مقدسة للشعبين ونقاش واد الأردن.,Other topics covered reportedly include the future state of Jerusalem which is sacred to both nations and the Jordan Valley issue.,وتشمل المواضيع الأخرى التي تم تغطيتها الدولة المستقبلية للقدس التي تعتبر مقدسة لكلا البلدين ومسألة وادي الأردن.
وكيتقال أنه وحدين أخرين رباوهوم الحياوانات؛ و وحدين كبرو لراسهم فالبيرية.,Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.,يُزعم أن البعض الآخر قد تربى من قبل الحيوانات؛ يقال أن البعض عاش في البرية بمفرده.
لوخرين كيتضمنو جزيرة ليفينستون و ديسيبشن اللي فيها واحد الكالديرا نتاع واحد لبركان مازال نشيط واللي كتعطي واحد المنظر طبيعي غزال.,"Others include Livingston Island, and Deception where the flooded caldera of a still-active volcano provides a spectacular natural harbour.",وتشمل الجزر الأخرى جزيرة ليفينغستون ، و Deception حيث توفر الكالديرا المغمورة بالمياه من بركان لا يزال نشطًا ميناءًا طبيعيًا مذهلًا.
أوتاوا هي العاصمة الساحرة ديال كندا، فيها جوج لغات وفيها بزاف دلمعارض الفنية والمتاحف اللي كتعرض الماضي والحاضر ديال كندا.,"Ottawa is Canada's charming, bilingual capital and features an array of art galleries and museums that showcase Canada's past and present.",أوتاوا هي عاصمة كندا الساحرة ثنائية اللغة وتضم مجموعة من المعارض الفنية والمتاحف التي تعرض ماضي كندا وحاضرها.
نظام الكفالة ديالنا خاص يوفر ديور آمنين ومقدمي رعاية حنونين وتعليم مستقر وتغطية صحية معتمدة.,"Our foster care system is supposed to provide safe homes, loving caregivers, stable education, and reliable health care.",من المفترض أن يوفر نظام الرعاية بالتبني بيوت آمنة، ورعاية محبة، وتعليم مستقر، ورعاية صحية موثوقة.
"من بين 1,400 دلأشخاص اللي تم استطلاعهم قبل الانتخابات الفدرالية نتاع 2010، كبر عدد المعارضين لأن أستراليا تولي جمهورية بنسبة 8 فالمية على سنة 2008.","Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.",من بين 1400 شخص تم استطلاع آرائهم قبل الانتخابات الفيدرالية لعام 2010 ، زاد عدد أولئك الذين يعارضون أن تصبح أستراليا جمهورية بنسبة 8٪ منذ عام 2008.
فغابات السافانا تيكون صعيب على قرد عندو نفس الجهاز الهضمي ديال الإنسان أنه يلبي الحاجيات ديالو من الأحماض الأمينية بأكل الأعشاب اللي كاينة تما.,"Out on the savanna, it is hard for a primate with a digestive system like that of humans to satisfy its amino-acid requirements from available plant resources.",في السافانا ، يصعب على الرئيسيات ذات الجهاز الهضمي مثل الإنسان تلبية احتياجاتها من الأحماض الأمينية من الموارد النباتية المتاحة.
مشاو مليون من الناس ديالنا باش يحضرو الدفن.,Over four million people went to Rome to attend the funeral.,أكثر من أربعة ملايين شخص ذهبوا إلى روما لحضور الجنازة.
مع الوقت وفاش كيبداو السكان جداد يتأقلمو مع المحيط الجديد ديالهم تيبداو يبانو بحالهم بحال السكان لوخرين.,"Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population.",مع مرور الوقت ، مع بدء السكان الجدد في التكيف مع بيئتهم الجديدة ، يبدأون في أن يبدو أقل وأقل مثل السكان الآخرين.
الباريسيين عندهم واحد السمعة ديال الغرور والعجرفة والتكبر.,"Parisians have a reputation for being egocentric, rude and arrogant.",الباريسيون لديهم سمعة بأنهم أنانيين وقاسيين ومتغطرسين
الظاهر نتاع الباريسيين تيتبخر بمجرد أنك تبين شوية دالمجاملة.,Parisians' abrupt exteriors will rapidly evaporate if you display some basic courtesies.,سوف يتبخر المظهر الخارجي المفاجئ للباريسيين بسرعة إذا أظهرت بعض المجاملة الأساسية.
الناس تعرفو على المواد الكيميائية الأساسية بحال الذهب والفضة والنحاس من شحال هادي لاحقاش ساهل باش تتجبد من الطبيعة فالشكل الأولي ديالها بوسائل بسيطة.,"People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools.",كان الناس يعرفون عن العناصر الكيميائية الأساسية مثل الذهب والفضة والنحاس منذ العصور القديمة ، حيث يمكن اكتشافها جميعًا في الطبيعة في شكل أصلي ، وهي بسيطة نسبيًا في التعدين بأدوات بدائية.
يقدر أن الناس ميفهموش أن هاد الصب والتفهم حتا هما ضروريين للمسافرين اللي راجعين لبلادهم.,People may not anticipate that patience and understanding are also necessary for travellers returning home.,قد لا يتوقع الناس أن الصبر والتفاهم ضروريان أيضًا للمسافرين الذين يعودون إلى ديارهم.
الناس اللي تيكتبو الميساجات فشاشات الحاسوب معمرهوم يحتاجو لشي منجرة.,"People now write messages on computer screens, never having to come close to a sharpener.",الناس الآن يكتبون الرسائل على شاشات الكمبيوتر، دون أن يضطروا أبدًا إلى الاقتراب من حادة.
يقدرو الناس يجيبو القرابين للآلهة والكهنة يلبيو حاجات الآلهة فالحفلات والأعياد.,People would bring sacrifices to the gods and the priests would try to attend to the needs of the gods through ceremonies and festivals.,كان الناس يقدمون التضحيات للآلهة وكان الكهنة يحاولون تلبية احتياجات الآلهة من خلال الاحتفالات والمهرجانات.
ترصدات الإيقاعات الدورية، واللي هي ماشي استجابات بسيطة للإشارات الدورية، عند معظم الكائنات الحية بما فيها البكتيريات و الفطريات والنباتات والحيوانات.,"Periodic rhythms, which are not simply responses to external periodic cues, have been documented for most living beings, including bacteria, fungi, plants, and animals.",تم توثيق الإيقاعات الدورية ، والتي ليست مجرد استجابات للإشارات الدورية الخارجية ، لمعظم الكائنات الحية ، بما في ذلك البكتيريا والفطريات والنباتات والحيوانات.
"قال بيري أنه باغي ""يرجع لتيكساس باش يدير تقييم لنتائج تجمع دهاد الليلة، ويحدد واش عندو شي طريق مزال فهاد السباق،"" ولكن قال من بعد أنه غادي يبقا فالسباق ويتنافس على المركز الأول فجنوب كارولينا ف 21 فيناير.","Perry stated that he would ""return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race"", but later said that he would remain in the race and compete in the January 21 South Carolina primary.",قال بيري إنه سيعود إلى تكساس لتقييم نتائج المؤتمر الليلي لتحديد ما إذا كان هناك طريق إلى الأمام لنفسي في هذا السباق ، لكنه قال في وقت لاحق إنه سيبقى في السباق ويتنافس في 21 يناير في ولاية كارولينا الجنوبية.
كاتميز اللغة الفارسية بقواعد لغوية ساهلة نسبيا وغالبا منتظمة.,Persian has a relatively easy and mostly regular grammar.,اللغة الفارسية لها قواعد قواعد سهلة نسبيًا ومعظمها منتظمة.
الآفات تقدر تفسد الطعام وتسبب التهيج أو فأسوء الحالات تقدر تسبب أمراض الحساسية أو تنشر السم أو تنقل العدوى.,"Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.",يمكن أن تفسد الآفات الطعام ، وتسبب التهيج ، أو في أسوأ الحالات تسبب ردود فعل تحسسية ، ونشر السم ، أو نقل العدوى.
مخططات التلقيح اللي غاتعطا للمناطق الأكثر تأثرا تاريخيا هاد السنة تأجلات بسبب نقص التمويل وضعف الأولوية مقارنة مع أمراض أخرى.,Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.,تم تأخير الخطط لتوصيل اللقاحات إلى المناطق الأكثر تضرراً تاريخياً هذا العام بسبب نقص التمويل وانخفاض الأولوية مقارنة بالأمراض الأخرى.
"النباتات تتكون زوينة فاش تتكون فمحيط طبيعي إذا تجنبو أنكم تحولو ولو ""غير نموذج"" واحد.","Plants look their best when in a natural environment, so resist the temptation to remove even ""just one"" specimen.","تبدو النباتات في أفضل حالاتها عندما تكون في بيئة طبيعية ، لذلك قاوم الإغراء بإزالة حتى عينة ""واحدة فقط""."
النباتات كتعكي الأوكسيجين اللي تيدخلوه البشر للرية ديالهم وكتاخد تنائي أوكسيد الكربون اللي تيخرجوه (تيتنفسوه على برى).,"Plants make oxygen which humans breathe, and they take in carbon-dioxide which humans exhale (that is, breathe out).",النباتات تصنع الأكسجين الذي يتنفسه البشر، وتأخذ ثاني أكسيد الكربون الذي يتنفسه البشر (أي يتنفسون).
الباتات كتتغذى من الشمس باستعمال الفوطوسانتاز. وتيعطيو حتى الظل.,Plants make their food from the sun by photosynthesis. They also provide shade.,النباتات تصنع طعامها من الشمس عن طريق التمثيل الضوئي. كما أنها توفر الظل.
كون على بال أنك غاتزور واحد المقبرة جماعية، وبلاصة اللي اللي عندها معنى كبير عند بزاف دالناس فالعالم.,"Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world's population.",يرجى تذكر أنك تزور في الأساس موقع قبر جماعي ، بالإضافة إلى موقع له معنى لا يمكن حسابه تقريبًا لجزء كبير من سكان العالم.
تعاملو مع لبلاصة بكل كرامة ووقار واحترام اللي كاتستاهل. متضحكوش على الهلوكوست أولا النازية.,"Please treat the site with all of the dignity, solemnity and respect it deserves. Do not make jokes about the Holocaust or Nazis.",يرجى التعامل مع الموقع بكل الكرامة والكرامة والاحترام الذي يستحقه ، ولا تصنع نكات حول الهولوكوست أو النازيين.
المتزلج الضعيف البصر البولندي ماسيج كريزيل والمرشدة آنا أوغارزينسكا جابو المركز 13 فمسابقة السوبر-جي. وجاب الكوري الجنوبي يونغ سيورك بارك المركز 24 فمسابقة سوبر-جي للرجال للجالسين.,Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.,انتهى المتزلج المعوق بصري بولندا Maciej Krezel والمرشدة Anna Ogarzynska في المركز الثالث عشر في Super-G. انتهى Jong Seok Park من كوريا الجنوبية في المركز الرابع والعشرين في Super-G.
قالو لبوليس أن الجثة كانت تما تقريبا نهار كامل.,Police said that the body appeared to have been there for about a day.,قالت الشرطة أنه يبدو أن الجثة كانت هناك لمدة يوم تقريبًا.
قالو البوليس أنهم شاكين فشي مجند ديال داعش هو اللي من مورا هاد الهجوم.,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,وقالت الشرطة إنها تشتبه في أن أحد مقاتلي الدولة الإسلامية (داعش) مسؤول عن الهجوم.
قال مفوض الشرطة فشاندرا شيخار سولكاني أن المتهمين دازو فالمحكمة بوجوههم مغطيين.,Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.,قال مشرف الشرطة تشاندرا شيكار سولانكي إن المتهمين ظهروا في المحكمة ووجوههم مغطاة.
من بين الرياضات المشهورة كاينة كرة القدم ولباسكيط والفوليبال وكرة دلما والمبارزة بالسيف والريكبي وركوب الدراجات والآيس هوكي والهوكي وسباق السياراتF1.,"Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.",تشمل الرياضات الشعبية كرة القدم ، كرة السلة ، الكرة الطائرة ، البولو المائي ، المبارزة ، الرجبي ، ركوب الدراجات ، الهوكي على الجليد ، الهوكي على الجليد وسباقات السيارات F1.
حدود السرعة اللي تحطات قليلة بزاف مقارنة مع داكشي لي كان قبل ومن بعد - عادةً 35-40 ميل فالساعة (56-64 كم/ساعة) - واحترامها بشكل قطعي مهم بزاف.,Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.,حدود السرعة المعلنة أقل بشكل ملحوظ من الأقسام السابقة واللاحقة - عادة 35-40 ميل في الساعة (56-64 كم في الساعة) - والطاعة الصارمة لها أكثر أهمية من غير ذلك.
تلقا بوترو العلاج فكتفو فهاد اللحظة ولكن قدر أنه يرجع للماتش.,Potro received treatment to his shoulder at this point but managed to return to the game.,تلقى بوترو علاجًا لكتفه في هذه المرحلة لكنه تمكن من العودة إلى اللعبة.
عادة ماتتكون مراصد ماقبل الحداثة قديمة اليوم، وكتبقى غير متاحف أولا بلايص دلقراية.,"Pre-modern observatories are usually obsolete today, and remain as museums, or sites of education.",عادة ما تكون مرصدات ما قبل الحداثة قديمة اليوم، وتبقى كمتاحف، أو مواقع للتعليم.
خاس المتحولين جنسيا ميتوقعوش أن السكانير اللي كيتدار قبل العملية ميقيسش الخصوصية والكرامة ديالهم.,Pre-operative transgender people should not expect to pass through the scanners with their privacy and dignity intact.,لا ينبغي أن يتوقع الأشخاص المتحولون جنسياً قبل الجراحة أن يمروا من خلال أجهزة المسح مع سلامة خصوصياتهم وكرامتهم.
لاحظ الرئيس التنفيذي ديال شركة رينغ أنها بدات فاش مكانش سرسار ديال الدلر ديالو مكانش كيتسمع فالكرلج دالمحل ديالو.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في وقت سابق ، لاحظ الرئيس التنفيذي لـ Ring ، جيمي سيمينوف ، أن الشركة بدأت عندما لم يكن جرس بابه مسموعًا من متجره في مرآبه.
الزمرة دالأسد كتكون من ثلاثة د الدكورة عندهم رابط العائلة وتقريبا شي تلاتين نتوة وشبل.,"Prides are made up of one to three related adult males, along with as many as thirty females and cubs.",تتكون العصابات من واحد إلى ثلاثة ذكور بالغين مرتبطين ، جنبا إلى جنب مع ما يصل إلى ثلاثين أنثى وصغار.
وافق رئيس الوزراء ستيفن هاربر أنه يسيفط 'قانون الهواء النظيف' لمجلس الأحزاب باش يراجعوه، قبل من القراءة الثانية، من بعد الاجتماع د التلات د 25 دقيقة مع قائد الحزب الوطني الديمقراطي NDP جاك لايتون فمقر رئيس الوزراء.,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",وافق رئيس الوزراء ستيفن هاربر على إرسال قانون الهواء النظيف للحكومة إلى لجنة من جميع الأحزاب للمراجعة ، قبل قراءته الثانية ، بعد اجتماع لمدة 25 دقيقة يوم الثلاثاء مع زعيم الحزب الوطني الديمقراطي جاك لايتون في مكتب رئيس الوزراء.
